x1             y1             x2             y2             v1x            v1y            v2x            v2y            v3x            v3y            v4x            v4y            v5x            v5y            v6x            v6y            p2x            p2y            
-3.78514       -5.88835       -4.94856       -17.7552       2.84167        -0.961712      -2.84167       0.961712       -6.68852       -10.405        1.75888        -17.6538       -8.89195       -23.1819       -11.656        -17.8565       -1.00517       -12.3284       
-3.9015        -5.81191       -4.53391       -18.1555       2.82199        -1.01804       -2.82199       1.01804        -6.89413       -10.2699       2.11597        -17.2728       -7.81765       -24.005        -11.1838       -19.0382       -1.25016       -12.306        
-4.03631       -5.71911       -4.06664       -18.4866       2.79741        -1.08373       -2.79741       1.08373        -7.13234       -10.1059       2.42137        -16.782        -6.59577       -24.6997       -10.5547       -20.1912       -1.53751       -12.2734       
-4.17988       -5.61504       -3.54776       -18.7198       2.76907        -1.15424       -2.76907       1.15424        -7.38603       -9.92202       2.66357        -16.1861       -5.24761       -25.209        -9.75908       -21.2534       -1.8479        -12.2305       
-4.31689       -5.5104        -2.98433       -18.8372       2.7398         -1.22208       -2.7398        1.22208        -7.62813       -9.73712       2.8419         -15.5123       -3.82013       -25.4932       -8.81055       -22.1621       -2.14853       -12.1813       
-4.43095       -5.4191        -2.38869       -18.842        2.7137         -1.279         -2.7137        1.279          -7.82969       -9.5758        2.9697         -14.8062       -2.37508       -25.5502       -7.74707       -22.8778       -2.4023        -12.1338       
-4.51052       -5.35306       -1.77399       -18.7564       2.69451        -1.31894       -2.69451       1.31894        -7.97029       -9.4591        3.06921        -14.1149       -0.966705      -25.4159       -6.61718       -23.3979       -2.58127       -12.097        
-4.55068       -5.31896       -1.15021       -18.6105       2.68451        -1.33919       -2.68451       1.33919        -8.04126       -9.39884       3.16317        -13.4729       0.371829       -25.1437       -5.46359       -23.748        -2.67224       -12.0772       
-4.55112       -5.31858       -0.523281      -18.4313       2.6844         -1.33941       -2.6844        1.33941        -8.04204       -9.39817       3.27021        -12.8988       1.62669        -24.7857       -4.31677       -23.9639       -2.67325       -12.077        
-4.51348       -5.35056       0.103914       -18.24         2.69378        -1.32044       -2.69378       1.32044        -7.97553       -9.45468       3.40431        -12.3998       2.7958         -24.3844       -3.19648       -24.0801       -2.58797       -12.0956       
-4.43979       -5.41186       0.730301       -18.0512       2.71161        -1.28343       -2.71161       1.28343        -7.84532       -9.563         3.57594        -11.9765       3.88271        -23.9725       -2.11533       -24.1259       -2.4221        -12.1299       
-4.33186       -5.49864       1.35571        -17.8751       2.73647        -1.22953       -2.73647       1.22953        -7.65459       -9.71634       3.79308        -11.6254       4.89308        -23.5749       -1.08165       -24.1249       -2.18166       -12.1754       
-4.19107       -5.60669       1.98033        -17.7184       2.76676        -1.15976       -2.76676       1.15976        -7.40581       -9.90727       4.06201        -11.3413       5.83296        -23.2099       -0.10134       -24.0954       -1.87229       -12.2268       
-4.01842       -5.73169       2.60432        -17.5849       2.80079        -1.07499       -2.80079       1.07499        -7.10073       -10.1282       4.38763        -11.118        6.7078         -22.8916       0.821019       -24.0517       -1.49915       -12.2781       
-3.81454       -5.86935       3.22758        -17.4767       2.83683        -0.975907      -2.83683       0.975907       -6.74046       -10.3714       4.77374        -10.9491       7.52196        -22.6302       1.68142        -24.0043       -1.0668        -12.3232       
-3.57972       -6.01545       3.84952        -17.3942       2.87316        -0.863092      -2.87316       0.863092       -6.32553       -10.6296       5.22308        -10.8282       8.27824        -22.4327       2.47596        -23.9603       -0.579205      -12.3557       
-3.31396       -6.16585       4.46887        -17.3364       2.90807        -0.736961      -2.90807       0.736961       -5.85592       -10.8953       5.73737        -10.7492       8.97752        -22.3035       3.20038        -23.9235       -0.0397696     -12.3693       
-3.0169        -6.31651       5.0835         -17.3004       2.93984        -0.597788      -2.93984       0.597788       -5.33099       -11.1616       6.31719        -10.7066       9.61831        -22.2436       3.84981        -23.8942       0.548685       -12.3571       
-2.68788       -6.46338       5.69009        -17.2818       2.9667         -0.445725      -2.9667        0.445725       -4.7496        -11.4211       6.96171        -10.6952       10.1964        -22.251        4.41847        -23.8684       1.18381        -12.3125       
-2.32605       -6.60224       6.28391        -17.2739       2.98682        -0.280851      -2.98682       0.280851       -4.11023       -11.6664       7.66819        -10.71         10.7044        -22.3196       4.89964        -23.8377       1.86342        -12.2282       
-1.93066       -6.72849       6.85842        -17.267        2.99822        -0.103337      -2.99822       0.103337       -3.41157       -11.8895       8.4309         -10.7457       11.132         -22.4377       5.28593        -23.7883       2.58487        -12.0962       
-1.50186       -6.83699       7.40496        -17.2479       2.99876        0.0862266      -2.99876       -0.0862266     -2.65385       -12.0813       9.23946        -10.7954       11.4662        -22.587        5.57045        -23.7004       3.34367        -11.9088       
-1.04209       -6.922         7.91287        -17.1997       2.98631        0.286224       -2.98631       -0.286224      -1.84142       -12.2315       10.0764        -10.85         11.6945        -22.7404       5.74933        -23.5494       4.13121        -11.659        
-0.558207      -6.97771       8.37065        -17.1033       2.95918        0.493201       -2.95918       -0.493201      -0.986377      -12.3299       10.9153        -10.8965       11.8093        -22.8632       5.82599        -23.3102       4.93198        -11.3435       
-0.0630651     -6.99972       8.76878        -16.9426       2.91686        0.701356       -2.91686       -0.701356      -0.111439      -12.3688       11.7221        -10.9195       11.8153        -22.9192       5.81544        -22.9657       5.72229        -10.9661       
0.425795       -6.98704       9.10346        -16.7112       2.86078        0.903295       -2.86078       -0.903295      0.752399       -12.3464       12.4628        -10.9048       11.733         -22.8825       5.74407        -22.5176       6.47396        -10.5398       
0.891005       -6.94306       9.37823        -16.4162       2.79414        1.09215        -2.79414       -1.09215       1.57445        -12.2687       13.1144        -10.8447       11.5937        -22.748        5.6421         -21.9877       7.16272        -10.0844       
1.32021        -6.87438       9.60171        -16.0751       2.72097        1.26346        -2.72097       -1.26346       2.33287        -12.1473       13.6693        -10.7407       11.4286        -22.5297       5.53414        -21.4094       7.77481        -9.62041       
1.70735        -6.78859       9.78387        -15.7084       2.64506        1.41551        -2.64506       -1.41551       3.01696        -11.9957       14.1327        -10.6008       11.2607        -22.252        5.43504        -20.816        8.30708        -9.16474       
2.051          -6.69279       9.93353        -15.3349       2.56951        1.54843        -2.56951       -1.54843       3.62422        -11.8265       14.5156        -10.4355       11.1038        -21.9403       5.35145        -20.2344       8.76323        -8.72959       
2.35231        -6.59292       10.0576        -14.9699       2.49667        1.66333        -2.49667       -1.66333       4.15664        -11.65         14.8302        -10.2558       10.9652        -21.6164       5.28496        -19.6839       9.14997        -8.32334       
